date,asset,score,alpha
2017-05-31,DBC,-1.3130034981199215,-0.03939010494359764
2017-05-31,VNQ,0.00230045965400677,6.90137896202031e-05
2017-06-30,SPY,1.265242119073171,0.03795726357219513
2017-06-30,QQQ,2.3903829866681257,0.07171148960004377
2017-06-30,IWM,1.6225450373353116,0.048676351120059344
2017-06-30,EFA,1.4451061475678686,0.043353184427036055
2017-06-30,EEM,1.592901665646069,0.04778704996938207
2017-06-30,TLT,-0.7229162134749798,-0.021687486404249393
2017-06-30,IEF,-0.35307163807022257,-0.010592149142106677
2017-06-30,SHY,-0.09921700152060953,-0.0029765100456182855
2017-06-30,LQD,-0.018783755867857965,-0.000563512676035739
2017-06-30,HYG,0.6706929630169668,0.020120788890509004
2017-06-30,GLD,-0.43048404316636746,-0.012914521294991023
2017-06-30,DBC,-1.510054827565825,-0.04530164482697475
2017-06-30,VNQ,-0.3523434396416495,-0.010570303189249484
2017-07-31,SPY,1.3383243067142234,0.040149729201426704
2017-07-31,QQQ,2.0409151778504224,0.06122745533551267
2017-07-31,IWM,1.7570385234670234,0.0527111557040107
2017-07-31,EFA,1.5180054518048798,0.04554016355414639
2017-07-31,EEM,1.552118943862036,0.04656356831586108
2017-07-31,TLT,-0.8836988909886114,-0.02651096672965834
2017-07-31,IEF,-0.3549086813177069,-0.010647260439531207
2017-07-31,SHY,0.01602416994572642,0.0004807250983717925
2017-07-31,LQD,0.04842613907373078,0.0014527841722119233
2017-07-31,HYG,0.8313929074816446,0.024941787224449338
2017-07-31,GLD,-0.7728726588388495,-0.023186179765165484
2017-07-31,DBC,-1.0500042179805595,-0.031500126539416785
2017-07-31,VNQ,-0.5407611710739595,-0.016222835132218782
2017-08-31,SPY,1.3479687754423424,0.04043906326327027
2017-08-31,QQQ,2.1758473102653877,0.06527541930796163
2017-08-31,IWM,1.2784892719118461,0.03835467815735538
2017-08-31,EFA,1.568074600176149,0.04704223800528447
2017-08-31,EEM,1.930757458945159,0.05792272376835477
2017-08-31,TLT,-0.9908257024864919,-0.029724771074594758
2017-08-31,IEF,-0.4335503704744669,-0.013006511114234006
2017-08-31,SHY,-0.15451567748304418,-0.004635470324491325
2017-08-31,LQD,-0.0948010501787161,-0.0028440315053614826
2017-08-31,HYG,0.5397988348505847,0.01619396504551754
2017-08-31,GLD,-0.5096836468188382,-0.015290509404565144
2017-08-31,DBC,0.15713846243680196,0.004714153873104059
2017-08-31,VNQ,-0.31469826658671285,-0.009440947997601385
2017-09-29,SPY,1.470498706227374,0.04411496118682122
2017-09-29,QQQ,2.2209022461331647,0.06662706738399493
2017-09-29,IWM,1.2230102901693407,0.03669030870508022
2017-09-29,EFA,1.4546160883547965,0.04363848265064389
2017-09-29,EEM,2.0438448473791864,0.06131534542137559
2017-09-29,TLT,-0.7922192216989439,-0.023766576650968315
2017-09-29,IEF,-0.40343397719404983,-0.012103019315821495
2017-09-29,SHY,-0.16722873114899617,-0.005016861934469885
2017-09-29,LQD,-0.058271919225679536,-0.001748157576770386
