date,strategy,solver_status,solver_success,objective_value,full_weight_sum,risky_weight_sum,cash_weight,min_risky_weight,max_risky_weight,turnover,transaction_cost,constraint_valid,target_volatility_violation,predicted_volatility,target_volatility,covariance_estimator,cov_min_eigenvalue_before,cov_min_eigenvalue_after,cov_psd_repaired,alpha_scale,momentum_lookback_days,momentum_skip_days,trend_window_days,covariance_lookback_days,stress_ewma_span_days,stress_short_window_days,stress_reference_window_days,sigma_ewma_short,sigma_ew_63d,sigma_ew_252d,v_t,rho_t,rho_mode,market_state_mode,effective_target_volatility,target_volatility_mode,lambda_tc,eta_l2,fallback_used,robust_penalty,solver_time_seconds,risk_aversion
2014-11-28,Proposed Strategy,optimal,True,0.04594533365204644,1.0,0.9999999999814728,1.852716542479245e-11,0.0,0.24999999999404393,0.18760600995415688,0.00018760600995415688,True,0.0,0.04751523572777309,0.08155008785727283,ewma,2.204820124902653e-06,2.2048201249024956e-06,False,0.03,252,21,200,20,20,63,252,0.06778915964209874,0.06479636536936267,0.05528211924583845,1.2262402485085953,0.09809921988068762,dynamic,ewma,0.08155008785727283,inverse_vt,0.001,0.01,False,0.004661207557341512,0.004507958000000034,
2014-12-31,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.01260407724448677,1.2604077244486769e-05,True,0.0,0.07214844648471953,,ewma,1.34436192895375e-05,1.3443619289537327e-05,False,0.03,252,21,200,20,20,63,252,,0.0695033530141289,0.05600565107414646,1.2410060713714886,0.06205030356857443,dynamic,standard,,n/a,0.001,0.01,False,,,
2014-12-31,Minimum Variance,optimal,True,0.0006111369141465054,1.0,1.0,0.0,6.497019850486692e-09,0.24999999694443226,0.026101377860883047,2.6101377860883048e-05,True,0.0,0.02472118351023076,,sample,1.550901111404483e-05,1.550901111404542e-05,False,0.03,252,21,200,252,20,63,252,,0.0695033530141289,0.05600565107414646,1.2410060713714886,0.06205030356857443,dynamic,standard,,n/a,0.001,0.01,False,,0.0025819170000001,
2014-12-31,Traditional MVO,optimal,True,0.2035914576065861,1.0,1.0,0.0,0.0,0.24999999914314,0.009498812954243804,9.498812954243804e-06,True,0.0,0.07435997496254855,,sample,1.550901111404483e-05,1.550901111404542e-05,False,0.03,252,21,200,252,20,63,252,,0.0695033530141289,0.05600565107414646,1.2410060713714886,0.06205030356857443,dynamic,standard,,n/a,0.001,0.01,False,,0.002775541999999742,1.0
2014-12-31,Proposed Strategy,optimal,True,0.04017637167535709,1.0,0.999999999080605,9.193950341592689e-10,0.0,0.2499999992738641,0.1350711429936894,0.0001350711429936894,True,0.0,0.07905962606318967,0.07905962789701443,ewma,1.34436192895375e-05,1.3443619289537327e-05,False,0.03,252,21,200,20,20,63,252,0.07083976052493088,0.0695033530141289,0.05600565107414646,1.2648680832429817,0.10118944665943853,dynamic,ewma,0.07905962789701443,inverse_vt,0.001,0.01,False,0.007999999814436286,0.004415665999999874,
2015-01-30,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.01928043401948546,1.928043401948546e-05,True,0.0,0.05212792253748682,,ewma,4.423149312465132e-06,4.423149312464567e-06,False,0.03,252,21,200,20,20,63,252,,0.06130250216236431,0.05516480777284129,1.1112610491601265,0.05556305245800633,dynamic,standard,,n/a,0.001,0.01,False,,,
2015-01-30,Minimum Variance,optimal,True,0.0005968591953214955,1.0,1.0,0.0,1.8340667170615198e-08,0.2499999916298662,0.019784812472651493,1.9784812472651493e-05,True,0.0,0.02443070189989424,,sample,1.606280443045816e-05,1.6062804430458768e-05,False,0.03,252,21,200,252,20,63,252,,0.06130250216236431,0.05516480777284129,1.1112610491601265,0.05556305245800633,dynamic,standard,,n/a,0.001,0.01,False,,0.0025704580000001087,
2015-01-30,Traditional MVO,optimal,True,0.220407129571456,1.0,1.0,0.0,0.0,0.2499999999981824,0.0263748849250242,2.63748849250242e-05,True,0.0,0.07340642618345117,,sample,1.606280443045816e-05,1.6062804430458768e-05,False,0.03,252,21,200,252,20,63,252,,0.06130250216236431,0.05516480777284129,1.1112610491601265,0.05556305245800633,dynamic,standard,,n/a,0.001,0.01,False,,0.002786249999999768,1.0
2015-01-30,Proposed Strategy,optimal,True,0.041011330144069234,1.0,0.9999999999285034,7.149658840482942e-11,0.0,0.2499999999259495,0.1500963309665429,0.00015009633096654292,True,0.0,0.08186652995788134,0.09908407119078443,ewma,4.423149312465132e-06,4.423149312464567e-06,False,0.03,252,21,200,20,20,63,252,0.05567474883689684,0.06130250216236431,0.05516480777284129,1.0092439561496416,0.08073951649197132,dynamic,ewma,0.09908407119078443,inverse_vt,0.001,0.01,False,0.00660986404567482,0.004481707999999696,
2015-02-27,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.020830344818749298,2.0830344818749297e-05,True,0.0,0.057032064471817655,,ewma,5.618741544359456e-06,5.618741544360206e-06,False,0.03,252,21,200,20,20,63,252,,0.06569860801875493,0.05515484077962954,1.1911666698713335,0.05955833349356668,dynamic,standard,,n/a,0.001,0.01,False,,,
